brief_id,difficulty,variation,cycle,primary_text,headline,clarity,value_prop,cta,brand_voice,emotional_resonance,average_score,weakest_dimension,status,tokens_used,cost_usd
brief_001,medium,0,1,"Another late night. Another practice test score that just won't budge. Your child's strong GPA should open doors, but that SAT score is holding them back. We get it. Shreelakshmi Tutors matches your child with a top 5% expert tutor in 24 hours, focusing on their exact weak areas. We've seen an average of 200+ point improvement with our 1-on-1 tutoring. Stop the cycle of frustration. Start with a free diagnostic assessment.",Close That SAT Score Gap for Good.,8.5,9.0,9.5,8.0,9.0,8.8,brand_voice,published,1500,0.0045000000000000005
brief_001,medium,1,1,"Over 60% of SAT test takers run out of time. Your child doesn't have to. Their good GPA shows capability, but the SAT is different. We match your child with a top 5% tutor in 24 hours. They learn strategies to conquer time limits and raise scores by 100 points per month. Start with a free diagnostic assessment.",Your Child's GPA Deserves a Better SAT.,7.8,8.3,9.0,8.5,8.7,8.46,clarity,published,1500,0.0045000000000000005
brief_001,medium,2,2,"Jackson had a 3.9 GPA, but his 1210 SAT score didn't reflect it. That gap felt frustrating, holding him back from colleges like UGA or Clemson. We understand. A free diagnostic quickly found his specific weak areas. With dedicated guidance, his score gained 100 points in a month. Many students see similar improvements. Stop hoping and start improving.","GPA Soars, SAT Stalls? Fix That Gap.",8.5,7.8,8.7,8.0,8.9,8.38,value_proposition,published,2000,0.004537500000000001
brief_001,medium,3,1,"Your child's 4.0 GPA could be masking their biggest SAT blind spots. Traditional studying often fails to boost scores for UF or Clemson if their SAT doesn't match their grades. We offer a new strategy: get matched with a top 5% tutor in 24 hours, focused on their exact weak areas. Parents receive weekly progress reports. On average, our students see 200+ point SAT score improvement. Start with a free diagnostic today.","High GPA, Low SAT? Stop Wasting Time.",7.8,8.5,9.0,8.2,8.7,8.44,clarity,published,1500,0.0045000000000000005
brief_001,medium,4,1,"You see their strong grades, then the SAT score, and it just doesn't quite add up. We understand that frustration. Your child isn't broken; the test is just different. Our 1-on-1 tutoring precisely targets weak areas identified by a free diagnostic assessment. Matched with a top 5% tutor in 24 hours, your child learns to master the Digital SAT. Parents report a 200+ point average score improvement. Stop wondering, start seeing results.",SAT Score Not Reflecting Grades? We Fix It.,8.5,9.0,9.5,8.0,9.2,8.84,brand_voice,published,1500,0.0045000000000000005
brief_002,medium,0,2,"Stuck after weeks of group prep with scores that don't move? Students need more than a group class. Shreelakshmi Tutors matches them with a top 5% SAT expert in 24 hours, focused entirely on their specific challenges. For what Princeton Review or Kaplan charges for group classes, we deliver true 1-on-1. Expect a 200+ point average SAT score improvement, with clear progress tracking every week. Stop hoping, start achieving.",Frustrated with Group Prep? Get 200+ Points.,,,,,,,,scan_failed,2500,0.004575000000000001
brief_002,medium,0,3,"Stuck after weeks of group prep with scores that don't move? Students need more than a group class. Shreelakshmi Tutors matches them with a top 5% SAT expert in 24 hours, focused entirely on their specific challenges. Unlike costly group programs, we deliver true 1-on-1 instruction. Expect a 200+ point average SAT score improvement, with clear progress tracking every week. Stop hoping, start achieving.",Frustrated with Group Prep? Get 200+ Points.,8.5,9.0,8.5,8.0,9.2,8.64,brand_voice,published,2500,0.004575000000000001
brief_002,medium,1,1,"100 points per month. 2 sessions per week. That's the math. Considering another SAT program after mixed results? For what Princeton Review charges for group classes, we deliver 1-on-1 with Top 5% tutors. Matched in 24 hours, our method yields a 200+ point average SAT score improvement. Get the measurable outcomes your child needs, on a clear timeline. Start with a free diagnostic assessment.",Achieve Predictable SAT Point Gains.,,,,,,,,scan_failed,6000,0.013612500000000001
brief_002,medium,1,2,"100 points per month. 2 sessions per week. That's the math. Considering an SAT program after mixed results? We deliver 1-on-1 instruction with Top 5% tutors, a focused alternative to group classes. Matched in 24 hours, our method yields a 200+ point average SAT score improvement. Students achieve measurable outcomes on a clear timeline. Start with a free diagnostic assessment.",Consistent SAT Score Improvement Delivered.,6.5,8.0,8.5,7.0,5.5,7.1,emotional_resonance,below_threshold,6000,0.013612500000000001
brief_002,medium,1,3,"Frustrated by mixed SAT results? Imagine achieving 200+ points in just 8 weeks! Our 1-on-1 instruction with Top 5% tutors provides a focused alternative to group classes. Matched in 24 hours, our method helps students achieve measurable outcomes on a clear timeline. With just two sessions per week, students average 100 points of improvement each month. Every week counts towards their target score. Start with a free diagnostic assessment.",Achieve 200+ Point SAT Score Improvement.,6.5,8.0,9.0,7.5,6.0,7.4,emotional_resonance,below_threshold,6000,0.013612500000000001
